,elec
1956-01-01,1254.0
1956-02-01,1290.0
1956-03-01,1379.0
1956-04-01,1346.0
1956-05-01,1535.0
1956-06-01,1555.0
1956-07-01,1655.0
1956-08-01,1651.0
1956-09-01,1500.0
1956-10-01,1538.0
1956-11-01,1486.0
1956-12-01,1394.0
1957-01-01,1409.0
1957-02-01,1387.0
1957-03-01,1543.0
1957-04-01,1502.0
1957-05-01,1693.0
1957-06-01,1616.0
1957-07-01,1841.0
1957-08-01,1787.0
1957-09-01,1631.0
1957-10-01,1649.0
1957-11-01,1586.0
1957-12-01,1500.0
1958-01-01,1497.0
1958-02-01,1463.0
1958-03-01,1648.0
1958-04-01,1595.0
1958-05-01,1777.0
1958-06-01,1824.0
1958-07-01,1994.0
1958-08-01,1835.0
1958-09-01,1787.0
1958-10-01,1699.0
1958-11-01,1633.0
1958-12-01,1645.0
1959-01-01,1597.0
1959-02-01,1577.0
1959-03-01,1709.0
1959-04-01,1756.0
1959-05-01,1936.0
1959-06-01,2052.0
1959-07-01,2105.0
1959-08-01,2016.0
1959-09-01,1914.0
1959-10-01,1925.0
1959-11-01,1824.0
1959-12-01,1765.0
1960-01-01,1721.0
1960-02-01,1752.0
1960-03-01,1914.0
1960-04-01,1857.0
1960-05-01,2159.0
1960-06-01,2195.0
1960-07-01,2287.0
1960-08-01,2276.0
1960-09-01,2096.0
1960-10-01,2055.0
1960-11-01,2004.0
1960-12-01,1924.0
1961-01-01,1851.0
1961-02-01,1839.0
1961-03-01,2019.0
1961-04-01,1937.0
1961-05-01,2270.0
1961-06-01,2251.0
1961-07-01,2382.0
1961-08-01,2364.0
1961-09-01,2129.0
1961-10-01,2110.0
1961-11-01,2072.0
1961-12-01,1980.0
1962-01-01,1995.0
1962-02-01,1932.0
1962-03-01,2171.0
1962-04-01,2162.0
1962-05-01,2489.0
1962-06-01,2424.0
1962-07-01,2641.0
1962-08-01,2630.0
1962-09-01,2324.0
1962-10-01,2412.0
1962-11-01,2284.0
1962-12-01,2186.0
1963-01-01,2184.0
1963-02-01,2144.0
1963-03-01,2379.0
1963-04-01,2383.0
1963-05-01,2717.0
1963-06-01,2774.0
1963-07-01,3051.0
1963-08-01,2891.0
1963-09-01,2613.0
1963-10-01,2600.0
1963-11-01,2493.0
1963-12-01,2410.0
1964-01-01,2390.0
1964-02-01,2463.0
1964-03-01,2616.0
1964-04-01,2734.0
1964-05-01,2970.0
1964-06-01,3125.0
1964-07-01,3342.0
1964-08-01,3207.0
1964-09-01,2964.0
1964-10-01,2919.0
1964-11-01,2764.0
1964-12-01,2732.0
1965-01-01,2622.0
1965-02-01,2698.0
1965-03-01,2950.0
1965-04-01,2895.0
1965-05-01,3200.0
1965-06-01,3408.0
1965-07-01,3679.0
1965-08-01,3473.0
1965-09-01,3154.0
1965-10-01,3107.0
1965-11-01,3052.0
1965-12-01,2918.0
1966-01-01,2786.0
1966-02-01,2739.0
1966-03-01,3125.0
1966-04-01,3033.0
1966-05-01,3486.0
1966-06-01,3661.0
1966-07-01,3927.0
1966-08-01,3851.0
1966-09-01,3456.0
1966-10-01,3390.0
1966-11-01,3280.0
1966-12-01,3166.0
1967-01-01,3080.0
1967-02-01,3069.0
1967-03-01,3340.0
1967-04-01,3310.0
1967-05-01,3798.0
1967-06-01,3883.0
1967-07-01,4191.0
1967-08-01,4213.0
1967-09-01,3766.0
1967-10-01,3628.0
1967-11-01,3520.0
1967-12-01,3322.0
1968-01-01,3250.0
1968-02-01,3287.0
1968-03-01,3552.0
1968-04-01,3440.0
1968-05-01,4153.0
1968-06-01,4265.0
1968-07-01,4655.0
1968-08-01,4492.0
1968-09-01,4051.0
1968-10-01,3967.0
1968-11-01,3807.0
1968-12-01,3639.0
1969-01-01,3647.0
1969-02-01,3560.0
1969-03-01,3929.0
1969-04-01,3858.0
1969-05-01,4485.0
1969-06-01,4697.0
1969-07-01,4977.0
1969-08-01,4675.0
1969-09-01,4596.0
1969-10-01,4491.0
1969-11-01,4127.0
1969-12-01,4144.0
1970-01-01,4014.0
1970-02-01,3994.0
1970-03-01,4320.0
1970-04-01,4400.0
1970-05-01,5002.0
1970-06-01,5091.0
1970-07-01,5471.0
1970-08-01,5193.0
1970-09-01,4997.0
1970-10-01,4737.0
1970-11-01,4546.0
1970-12-01,4498.0
1971-01-01,4350.0
1971-02-01,4206.0
1971-03-01,4743.0
1971-04-01,4582.0
1971-05-01,5191.0
1971-06-01,5457.0
1971-07-01,5891.0
1971-08-01,5618.0
1971-09-01,5158.0
1971-10-01,5030.0
1971-11-01,4800.0
1971-12-01,4654.0
1972-01-01,4453.0
1972-02-01,4440.0
1972-03-01,4945.0
1972-04-01,4788.0
1972-05-01,5425.0
1972-06-01,5706.0
1972-07-01,6061.0
1972-08-01,5846.0
1972-09-01,5242.0
1972-10-01,5408.0
1972-11-01,5114.0
1972-12-01,5042.0
1973-01-01,5008.0
1973-02-01,4657.0
1973-03-01,5359.0
1973-04-01,5193.0
1973-05-01,5891.0
1973-06-01,5980.0
1973-07-01,6390.0
1973-08-01,6366.0
1973-09-01,5756.0
1973-10-01,5640.0
1973-11-01,5429.0
1973-12-01,5398.0
1974-01-01,5413.0
1974-02-01,5141.0
1974-03-01,5695.0
1974-04-01,5554.0
1974-05-01,6369.0
1974-06-01,6592.0
1974-07-01,7107.0
1974-08-01,6917.0
1974-09-01,6353.0
1974-10-01,6205.0
1974-11-01,5830.0
1974-12-01,5646.0
1975-01-01,5379.0
1975-02-01,5489.0
1975-03-01,5824.0
1975-04-01,5907.0
1975-05-01,6482.0
1975-06-01,6795.0
1975-07-01,7028.0
1975-08-01,6776.0
1975-09-01,6274.0
1975-10-01,6362.0
1975-11-01,5940.0
1975-12-01,5958.0
1976-01-01,5769.0
1976-02-01,5887.0
1976-03-01,6367.0
1976-04-01,6165.0
1976-05-01,6868.0
1976-06-01,7201.0
1976-07-01,7601.0
1976-08-01,7581.0
1976-09-01,7090.0
1976-10-01,6841.0
1976-11-01,6408.0
1976-12-01,6435.0
1977-01-01,6176.0
1977-02-01,6138.0
1977-03-01,6717.0
1977-04-01,6470.0
1977-05-01,7312.0
1977-06-01,7763.0
1977-07-01,8171.0
1977-08-01,7788.0
1977-09-01,7311.0
1977-10-01,6679.0
1977-11-01,6704.0
1977-12-01,6724.0
1978-01-01,6552.0
1978-02-01,6427.0
1978-03-01,7105.0
1978-04-01,6869.0
1978-05-01,7683.0
1978-06-01,8082.0
1978-07-01,8555.0
1978-08-01,8386.0
1978-09-01,7553.0
1978-10-01,7398.0
1978-11-01,7112.0
1978-12-01,6886.0
1979-01-01,7077.0
1979-02-01,6820.0
1979-03-01,7426.0
1979-04-01,7143.0
1979-05-01,8261.0
1979-06-01,8240.0
1979-07-01,8977.0
1979-08-01,8991.0
1979-09-01,8026.0
1979-10-01,7911.0
1979-11-01,7510.0
1979-12-01,7381.0
1980-01-01,7366.0
1980-02-01,7414.0
1980-03-01,7824.0
1980-04-01,7524.0
1980-05-01,8279.0
1980-06-01,8707.0
1980-07-01,9486.0
1980-08-01,8973.0
1980-09-01,8231.0
1980-10-01,8206.0
1980-11-01,7927.0
1980-12-01,7999.0
1981-01-01,7834.0
1981-02-01,7521.0
1981-03-01,8284.0
1981-04-01,7999.0
1981-05-01,8940.0
1981-06-01,9381.0
1981-07-01,10078.0
1981-08-01,9796.0
1981-09-01,8471.0
1981-10-01,8572.0
1981-11-01,8150.0
1981-12-01,8168.0
1982-01-01,8166.0
1982-02-01,7903.0
1982-03-01,8606.0
1982-04-01,8071.0
1982-05-01,9178.0
1982-06-01,9873.0
1982-07-01,10476.0
1982-08-01,9296.0
1982-09-01,8818.0
1982-10-01,8697.0
1982-11-01,8381.0
1982-12-01,8293.0
1983-01-01,7942.0
1983-02-01,8001.0
1983-03-01,8744.0
1983-04-01,8397.0
1983-05-01,9115.0
1983-06-01,9773.0
1983-07-01,10358.0
1983-08-01,9849.0
1983-09-01,9083.0
1983-10-01,9143.0
1983-11-01,8800.0
1983-12-01,8741.0
1984-01-01,8492.0
1984-02-01,8795.0
1984-03-01,9354.0
1984-04-01,8796.0
1984-05-01,10072.0
1984-06-01,10174.0
1984-07-01,11326.0
1984-08-01,10744.0
1984-09-01,9806.0
1984-10-01,9740.0
1984-11-01,9373.0
1984-12-01,9244.0
1985-01-01,9407.0
1985-02-01,8827.0
1985-03-01,9880.0
1985-04-01,9364.0
1985-05-01,10580.0
1985-06-01,10899.0
1985-07-01,11687.0
1985-08-01,11280.0
1985-09-01,10208.0
1985-10-01,10212.0
1985-11-01,9725.0
1985-12-01,9721.0
1986-01-01,9846.0
1986-02-01,9407.0
1986-03-01,10265.0
1986-04-01,9970.0
1986-05-01,10801.0
1986-06-01,11246.0
1986-07-01,12167.0
1986-08-01,11578.0
1986-09-01,10645.0
1986-10-01,10613.0
1986-11-01,10104.0
1986-12-01,10348.0
1987-01-01,10263.0
1987-02-01,9973.0
1987-03-01,10803.0
1987-04-01,10409.0
1987-05-01,11458.0
1987-06-01,11845.0
1987-07-01,12559.0
1987-08-01,12070.0
1987-09-01,11221.0
1987-10-01,11338.0
1987-11-01,10761.0
1987-12-01,11012.0
1988-01-01,10923.0
1988-02-01,10790.0
1988-03-01,11427.0
1988-04-01,10788.0
1988-05-01,11772.0
1988-06-01,12104.0
1988-07-01,12634.0
1988-08-01,12772.0
1988-09-01,11764.0
1988-10-01,11956.0
1988-11-01,11646.0
1988-12-01,11750.0
1989-01-01,11485.0
1989-02-01,11198.0
1989-03-01,12265.0
1989-04-01,11704.0
1989-05-01,12419.0
1989-06-01,13259.0
1989-07-01,13945.0
1989-08-01,13839.0
1989-09-01,12387.0
1989-10-01,12546.0
1989-11-01,12038.0
1989-12-01,11977.0
1990-01-01,12336.0
1990-02-01,11793.0
1990-03-01,12877.0
1990-04-01,11923.0
1990-05-01,13306.0
1990-06-01,13988.0
1990-07-01,14002.0
1990-08-01,14336.0
1990-09-01,12867.0
1990-10-01,12721.0
1990-11-01,12449.0
1990-12-01,12686.0
1991-01-01,12810.0
1991-02-01,12015.0
1991-03-01,12888.0
1991-04-01,12431.0
1991-05-01,13499.0
1991-06-01,13014.0
1991-07-01,14296.0
1991-08-01,14125.0
1991-09-01,12817.0
1991-10-01,12862.0
1991-11-01,12449.0
1991-12-01,12489.0
1992-01-01,12621.0
1992-02-01,12380.0
1992-03-01,13023.0
1992-04-01,12302.0
1992-05-01,13339.0
1992-06-01,13825.0
1992-07-01,14428.0
1992-08-01,14151.0
1992-09-01,13355.0
1992-10-01,13094.0
1992-11-01,12656.0
1992-12-01,12435.0
1993-01-01,13287.0
1993-02-01,12434.0
1993-03-01,13209.0
1993-04-01,12817.0
1993-05-01,13746.0
1993-06-01,14259.0
1993-07-01,14590.0
1993-08-01,14354.0
1993-09-01,13254.0
1993-10-01,13464.0
1993-11-01,13302.0
1993-12-01,13456.0
1994-01-01,13171.0
1994-02-01,12517.0
1994-03-01,13489.0
1994-04-01,12509.0
1994-05-01,13785.0
1994-06-01,13921.0
1994-07-01,14603.0
1994-08-01,14749.0
1994-09-01,13540.0
1994-10-01,13457.0
1994-11-01,13243.0
1994-12-01,13590.0
1995-01-01,13487.0
1995-02-01,12776.0
1995-03-01,13812.0
1995-04-01,13032.0
1995-05-01,14268.0
1995-06-01,14473.0
1995-07-01,15359.0
1995-08-01,14457.0
