,consumption,income
1970-01-01,0.61227692,0.496540045
1970-04-01,0.454929794,1.736459591
1970-07-01,0.874673021,1.344880981
1970-10-01,-0.272514385,-0.328145953
1971-01-01,1.892186993,1.965432327
1971-04-01,0.913378185,1.490757133
1971-07-01,0.792857898,0.442927733
1971-10-01,1.649995662,1.050230993
1972-01-01,1.32724825,0.629713564
1972-04-01,1.889905062,0.934207242
1972-07-01,1.532724163,2.024456496
1972-10-01,2.317057775,3.901784825
1973-01-01,1.813855694,1.129195652
1973-04-01,-0.050557716,0.981487307
1973-07-01,0.359667223,0.503626895
1973-10-01,-0.293315461,1.211474571
1974-01-01,-0.878770942,-1.546943855
1974-04-01,0.346720029,-0.860297695
1974-07-01,0.411953557,0.310671244
1974-10-01,-1.47820468,-0.452458059
1975-01-01,0.837359874,-0.393048299
1975-04-01,1.653973693,4.564235521
1975-07-01,1.414318836,-1.359432036
1975-10-01,1.053109931,1.006575406
1976-01-01,1.97774749,1.462092078
1976-04-01,0.915072184,0.819999864
1976-07-01,1.050746068,0.896376224
1976-10-01,1.295196193,0.715996597
1977-01-01,1.135458885,0.082385052
1977-04-01,0.551532397,1.131054305
1977-07-01,0.950159598,1.490114704
1977-10-01,1.496161496,1.995499552
1978-01-01,0.582299782,0.614904129
1978-04-01,2.11467168,1.141343133
1978-07-01,0.418698865,0.808026906
1978-10-01,0.802764302,0.782540078
1979-01-01,0.50412878,1.087249832
1979-04-01,-0.058551127,-0.700631545
1979-07-01,0.977555967,0.568900915
1979-10-01,0.26591209,0.797134552
1980-01-01,-0.173684254,0.279831351
1980-04-01,-2.296562996,-1.409415369
1980-07-01,1.066919835,1.02444505
1980-10-01,1.32441742,2.043130338
1981-01-01,0.54583283,-0.229300048
1981-04-01,0.0,0.01377284
1981-07-01,0.404821844,2.193050433
1981-10-01,-0.758748833,0.201893379
1982-01-01,0.643998142,0.116463988
1982-04-01,0.356859498,0.69817265
1982-07-01,0.76412375,0.436938581
1982-10-01,1.807886611,0.351269015
1983-01-01,0.975937338,0.784231599
1983-04-01,1.96559809,0.72600744
1983-07-01,1.751349705,1.489909944
1983-10-01,1.573740048,2.042140999
1984-01-01,0.853227275,2.163513516
1984-04-01,1.420025736,1.707008683
1984-07-01,0.769502001,1.545359737
1984-10-01,1.307478026,0.946974902
1985-01-01,1.681281553,-0.246259445
1985-04-01,0.907910806,1.966841071
1985-07-01,1.880850439,-0.620830801
1985-10-01,0.219864034,1.030018787
1986-01-01,0.831533592,1.18335512
1986-04-01,1.059663705,1.128116143
1986-07-01,1.732441717,0.523753063
1986-10-01,0.600062434,0.059897054
1987-01-01,-0.152288,0.611885129
1987-04-01,1.329357293,-1.09018891
1987-07-01,1.110416851,1.772266694
1987-10-01,0.240125469,1.410476141
1988-01-01,1.656928516,1.248862406
1988-04-01,0.723060308,0.934536046
1988-07-01,0.786814118,0.766858588
1988-10-01,1.170680141,0.896061766
1989-01-01,0.365226244,1.130999186
1989-04-01,0.446943251,-0.411533933
1989-07-01,1.031342865,0.645197097
1989-10-01,0.487945312,0.762948357
1990-01-01,0.787867942,0.750360325
1990-04-01,0.329588878,0.655150176
1990-07-01,0.379094008,0.072718052
1990-10-01,-0.782282375,-0.676795704
1991-01-01,-0.283580869,0.307585359
1991-04-01,0.758193783,0.755588074
1991-07-01,0.382567416,0.21195715
1991-10-01,-0.044932041,0.649885878
1992-01-01,1.70442848,1.497981581
1992-04-01,0.591033456,0.763512573
1992-07-01,1.099312177,0.506330196
1992-10-01,1.212615834,1.412562187
1993-01-01,0.405115351,-1.477541558
1993-04-01,0.955401523,1.543168336
1993-07-01,1.079080891,0.212590891
1993-10-01,0.886099341,1.46302707
1994-01-01,1.107815847,-0.400479849
1994-04-01,0.73801073,1.69184918
1994-07-01,0.79832641,0.73204843
1994-10-01,0.982355812,1.317421015
1995-01-01,0.116703636,0.646210704
1995-04-01,0.816439436,0.009071803
1995-07-01,0.890123271,0.745603285
1995-10-01,0.700256683,0.591013847
1996-01-01,0.909995107,1.059530012
1996-04-01,1.125174154,1.068869375
1996-07-01,0.597491051,0.847813936
1996-10-01,0.811049811,0.547321447
1997-01-01,1.002314791,0.890373141
1997-04-01,0.40370845,0.748012589
1997-07-01,1.685618761,1.138248868
1997-10-01,1.137796247,1.379965421
1998-01-01,0.989350157,2.248544314
1998-04-01,1.706687585,1.417721496
1998-07-01,1.316901051,1.04531261
1998-10-01,1.522383594,0.730112366
1999-01-01,0.981498554,0.675449171
1999-04-01,1.56147049,0.228461748
1999-07-01,1.194790348,0.64491755
1999-10-01,1.400264206,1.55565084
2000-01-01,1.505040637,2.079917327
2000-04-01,0.935882738,1.019653998
2000-07-01,0.974321842,1.055609188
2000-10-01,0.88064976,0.149548646
2001-01-01,0.398685386,0.7480245
2001-04-01,0.376512295,-0.274110069
2001-07-01,0.439188594,2.514669298
2001-10-01,1.553691,-1.173044414
2002-01-01,0.343826889,2.659477606
2002-04-01,0.506654039,0.549165469
2002-07-01,0.675711941,-0.343744371
2002-10-01,0.354724654,0.23623426
2003-01-01,0.503872727,0.367138124
2003-04-01,0.985555729,1.501775306
2003-07-01,1.337666705,1.39003078
2003-10-01,0.542546733,0.573803177
2004-01-01,0.880747948,0.443164179
2004-04-01,0.443979489,0.983686803
2004-07-01,0.870378697,0.666082163
2004-10-01,1.073951523,1.388903698
2005-01-01,0.793938878,-1.225522766
2005-04-01,0.984778893,0.701673549
2005-07-01,0.756278018,0.594778066
2005-10-01,0.248197873,0.545328307
2006-01-01,1.01902713,1.85567861
2006-04-01,0.600482189,0.882341774
2006-07-01,0.59799998,0.479144681
2006-10-01,0.925841126,1.302357376
2007-01-01,0.554241245,0.451389832
2007-04-01,0.38257957,0.149334878
2007-07-01,0.43929546,0.392083863
2007-10-01,0.294658721,0.548559897
2008-01-01,-0.252665213,1.430770981
2008-04-01,-0.03553182,1.973964634
2008-07-01,-0.971774467,-2.308604067
2008-10-01,-1.313503998,-0.057706851
2009-01-01,-0.387483995,-0.969060881
2009-04-01,-0.470083019,0.063290188
2009-07-01,0.574000955,-1.392556217
2009-10-01,0.109328853,-0.144713401
2010-01-01,0.671017951,1.187165135
2010-04-01,0.717718191,1.354354721
2010-07-01,0.653143257,0.561169813
2010-10-01,0.875352148,0.37105794
